dataset,fold,repeat,seed_label,seed_count,pool_count,total_count,method,selected_count,recall,impact
aimnet2,1,1,50,50,798,280,ridge,230,0.975,0.38486528938933295
aimnet2,1,1,50,50,798,280,mp_ridge,230,0.8375,0.28754397394209175
aimnet2,1,1,50,50,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,1,50,50,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,1,50,50,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,1,50,50,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,1,100,100,798,280,trees_log,180,0.925,0.3174874396776168
aimnet2,1,1,100,100,798,280,trees_raw,180,0.925,0.3148863471234364
aimnet2,1,1,100,100,798,280,trees_physics,180,0.925,0.30173637324487407
aimnet2,1,1,100,100,798,280,ridge,180,0.9375,0.33033344475861
aimnet2,1,1,100,100,798,280,mp_ridge,180,0.975,0.34821100032357194
aimnet2,1,1,100,100,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,1,100,100,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,1,100,100,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,1,100,100,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,1,full,202,798,280,trees_log,78,0.6625,0.17485242312594582
aimnet2,1,1,full,202,798,280,trees_raw,78,0.675,0.17345705165843336
aimnet2,1,1,full,202,798,280,trees_physics,78,0.7125,0.17693146260024428
aimnet2,1,1,full,202,798,280,ridge,78,0.7125,0.17866935109368515
aimnet2,1,1,full,202,798,280,mp_ridge,78,0.725,0.18555749178244002
aimnet2,1,1,full,202,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,1,full,202,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,1,full,202,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,1,full,202,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,2,10,10,798,280,trees_log,270,0.1,0.382019695140341
aimnet2,1,2,10,10,798,280,trees_raw,270,0.15,0.36757098564925433
aimnet2,1,2,10,10,798,280,trees_physics,270,0.0125,0.29961466005845744
aimnet2,1,2,10,10,798,280,ridge,270,0.2375,0.4358323714693874
aimnet2,1,2,10,10,798,280,mp_ridge,270,0.2375,0.4343601295172045
aimnet2,1,2,10,10,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,2,10,10,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,2,10,10,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,2,10,10,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,2,20,20,798,280,trees_log,260,0.925,0.43183531670377767
aimnet2,1,2,20,20,798,280,trees_raw,260,0.925,0.4271899989992013
aimnet2,1,2,20,20,798,280,trees_physics,260,0.9,0.39075937994759047
aimnet2,1,2,20,20,798,280,ridge,260,0.55,0.5016271005942441
aimnet2,1,2,20,20,798,280,mp_ridge,260,0.5625,0.5007995503637562
aimnet2,1,2,20,20,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,2,20,20,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,2,20,20,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,2,20,20,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,2,50,50,798,280,trees_log,230,0.9625,0.41714128011669344
aimnet2,1,2,50,50,798,280,trees_raw,230,0.95,0.41084239131065453
aimnet2,1,2,50,50,798,280,trees_physics,230,0.9375,0.36396406093032857
aimnet2,1,2,50,50,798,280,ridge,230,0.9375,0.4398058235127659
aimnet2,1,2,50,50,798,280,mp_ridge,230,0.8875,0.4432457822688672
aimnet2,1,2,50,50,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,2,50,50,798,280,rigid_force,280,0.95,0.4182358511373478
